"기준연도","행정구역코드","통계항목","통계값"
2024,11,"to_in_007",4491757
2024,11,"to_in_008",4843687
2024,11010,"to_in_001",144486
2024,11010,"to_in_007",68604
2024,11010,"to_in_008",75882
2024,11010530,"to_in_001",8411
2024,11010530,"to_in_007",3707
2024,11010530,"to_in_008",4704
2024,11010540,"to_in_001",2060
2024,11010540,"to_in_007",981
2024,11010540,"to_in_008",1079
2024,11010550,"to_in_001",9057
2024,11010550,"to_in_007",4287
2024,11010550,"to_in_008",4770
2024,11010560,"to_in_001",16392
2024,11010560,"to_in_007",7587
2024,11010560,"to_in_008",8805
2024,11010570,"to_in_001",7446
2024,11010570,"to_in_007",3421
2024,11010570,"to_in_008",4025
2024,11010580,"to_in_001",9194
2024,11010580,"to_in_007",4237
2024,11010580,"to_in_008",4957
2024,11010600,"to_in_001",3659
2024,11010600,"to_in_007",1755
2024,11010600,"to_in_008",1904
2024,11010610,"to_in_001",6892
2024,11010610,"to_in_007",3793
2024,11010610,"to_in_008",3099
2024,11010630,"to_in_001",5820
2024,11010630,"to_in_007",3094
2024,11010630,"to_in_008",2726
2024,11010640,"to_in_001",7892
2024,11010640,"to_in_007",3633
2024,11010640,"to_in_008",4259
2024,11010670,"to_in_001",5356
2024,11010670,"to_in_007",2767
2024,11010670,"to_in_008",2589
2024,11010680,"to_in_001",8687
2024,11010680,"to_in_007",4394
2024,11010680,"to_in_008",4293
2024,11010690,"to_in_001",6230
2024,11010690,"to_in_007",3073
2024,11010690,"to_in_008",3157
2024,11010700,"to_in_001",5903
2024,11010700,"to_in_007",2793
2024,11010700,"to_in_008",3110
2024,11010710,"to_in_001",10564
2024,11010710,"to_in_007",4922
2024,11010710,"to_in_008",5642
2024,11010720,"to_in_001",10521
2024,11010720,"to_in_007",4807
2024,11010720,"to_in_008",5714
2024,11010730,"to_in_001",20402
2024,11010730,"to_in_007",9353
2024,11010730,"to_in_008",11049
2024,11020,"to_in_001",126899
2024,11020,"to_in_007",60550
2024,11020,"to_in_008",66349
2024,11020520,"to_in_001",2521
2024,11020520,"to_in_007",1126
2024,11020520,"to_in_008",1395
2024,11020540,"to_in_001",4233
2024,11020540,"to_in_007",2170
2024,11020540,"to_in_008",2063
2024,11020550,"to_in_001",2500
2024,11020550,"to_in_007",1048
2024,11020550,"to_in_008",1452
2024,11020570,"to_in_001",5761
2024,11020570,"to_in_007",2815
2024,11020570,"to_in_008",2946
2024,11020580,"to_in_001",6218
2024,11020580,"to_in_007",3144
2024,11020580,"to_in_008",3074
2024,11020590,"to_in_001",6934
2024,11020590,"to_in_007",3316
2024,11020590,"to_in_008",3618
