행정기관코드,시군구명,읍면동명,총인구,고령인구,위치코드,전체쉼터수,개방형쉼터수,평균용량,독거노인,고령비율,독거비율,취약도
1111051500,종로구,청운효자동,10682,2299,1111051500.0,9.0,7.0,45.22222222222222,554,0.21522186856393935,0.05186294701366785,-0.10896414428730355
1111053000,종로구,사직동,8874,2008,1111053000.0,5.0,4.0,47.0,548,0.22627901735406805,0.061753437006986704,0.19551009318169088
1111054000,종로구,삼청동,2048,606,1111054000.0,5.0,3.0,29.6,176,0.2958984375,0.0859375,1.380972145584579
1111055000,종로구,부암동,8868,2055,1111055000.0,3.0,1.0,25.0,463,0.2317320703653586,0.05221019395579612,0.06867773125343521
1111056000,종로구,평창동,16938,4139,1111056000.0,6.0,3.0,27.5,859,0.24436179005785807,0.05071437005549652,0.17073434489983338
1111057000,종로구,무악동,7694,1648,1111057000.0,5.0,2.0,66.0,353,0.21419287756693528,0.04587990642058747,-0.23453906862434903
1111058000,종로구,교남동,9473,1846,1111058000.0,5.0,2.0,38.0,479,0.19486962947323974,0.05056476301066188,-0.3446575185193831
1111060000,종로구,가회동,3532,905,1111060000.0,6.0,2.0,28.5,267,0.25622876557191393,0.07559456398640997,0.7715092915510178
1111061500,종로구,종로1.2.3.4가동,6625,1882,1111061500.0,14.0,10.0,39.285714285714285,1203,0.2840754716981132,0.18158490566037735,3.0956849941907185
1111063000,종로구,종로5.6가동,5388,1147,1111063000.0,7.0,4.0,27.428571428571427,499,0.21288047512991834,0.09261321455085375,0.649499599916677
1111064000,종로구,이화동,7061,1508,1111064000.0,7.0,3.0,60.57142857142857,491,0.21356748335929754,0.06953689279138932,0.2133758424095376
1111065000,종로구,혜화동,15719,2867,1111065000.0,12.0,7.0,27.916666666666668,790,0.18239073732425726,0.05025764997773395,-0.479782114718627
1111067000,종로구,창신제1동,4372,1378,1111067000.0,7.0,3.0,51.42857142857143,651,0.3151875571820677,0.1489021043000915,2.7901131765802925
1111068000,종로구,창신제2동,7078,2084,1111068000.0,7.0,4.0,35.0,793,0.29443345577846847,0.11203729867194123,1.8671129508864435
1111069000,종로구,창신제3동,6048,1515,1111069000.0,5.0,3.0,53.2,370,0.25049603174603174,0.06117724867724868,0.4352233430562748
1111070000,종로구,숭인제1동,5678,1435,1111070000.0,3.0,2.0,25.666666666666668,487,0.2527298344487496,0.08576963719619585,0.9307135185610809
1111071000,종로구,숭인제2동,10240,1941,1111071000.0,8.0,4.0,25.0,803,0.18955078125,0.07841796875,0.1352529391938615
1114052000,중구,소공동,2207,287,1114052000.0,2.0,1.0,55.5,89,0.1300407793384685,0.04032623470774807,-1.2126519611840307
1114054000,중구,회현동,4042,1330,1114054000.0,4.0,3.0,70.0,546,0.3290450272142504,0.1350816427511133,2.6681585222355215
1114055000,중구,명동,2494,749,1114055000.0,2.0,1.0,50.0,202,0.30032076984763434,0.0809943865276664,1.3318230290843442
1114057000,중구,필동,4311,974,1114057000.0,3.0,2.0,36.666666666666664,382,0.22593365808397123,0.08861053119925771,0.7077909412689506
1114058000,중구,장충동,4589,972,1114058000.0,8.0,6.0,30.375,317,0.21181085203748093,0.06907823055131837,0.18637521992583883
1114059000,중구,광희동,5722,1275,1114059000.0,5.0,3.0,27.2,540,0.22282418734708145,0.09437259699405802,0.7862654694312476
1114060500,중구,을지로동,3050,523,1114060500.0,2.0,1.0,27.5,310,0.17147540983606557,0.10163934426229508,0.39409683974780596
1114061500,중구,신당동,7276,1737,1114061500.0,7.0,5.0,48.285714285714285,724,0.23873007146783948,0.09950522264980759,1.0495643955731164
1114062500,중구,다산동,12837,3248,1114062500.0,8.0,5.0,85.5,919,0.25301861805717846,0.07158993534314871,0.661347620759908
1114063500,중구,약수동,15633,4475,1114063500.0,9.0,6.0,57.55555555555556,1343,0.2862534382396213,0.0859080150962707,1.2805265923794078
1114064500,중구,청구동,10631,2769,1114064500.0,5.0,1.0,34.0,768,0.26046467876963597,0.07224155770858809,0.7509716631321803
1114065000,중구,신당제5동,9945,2175,1114065000.0,6.0,4.0,33.333333333333336,753,0.2187028657616893,0.07571644042232277,0.38524909305707444
